"ReferenceID","Authors","Year","Title","Details"
"Neu-Ref-70","Banks, N.","1918-1919","New neuropteroid insects.","Bulletin of the Museum of Comparative Zoology 62:1-22."
"Neu-Ref-73","Banks, N.","1920","New neuropteroid insects.","Bulletin of the Museum of Comparative Zoology 64:297-362."
"Neu-Ref-74","Banks, N.","1922","South America Glenurus and some other Myrmeleonidae.","Canadian Entomologist 54:58-60."
"Neu-Ref-76","Banks, N.","1924","Descriptions of new neuropteroid insects.","Bulletin of the Museum of Comparative Zoology 65:419-455."
"Neu-Ref-77","Banks, N.","1924","Neuroptera from the Williams Galapagos Expedition.","Zoologica: Scientific Contributions of the New York Zoological Society 5:177-180."
"Neu-Ref-78","Banks, N.","1927","Revision of the Nearctic Myrmeleonidae.","Bulletin of the Museum of Comparative Zoology 68:1-84."
"Neu-Ref-80","Banks, N.","1930","Neuropterous insects. Pp. 1045-1047 in Strong, R. C. (ed.). The African Republic of Liberia and the Belgian Congo, based on the observations made and material collected during the Harvard African Expedition, 1926-1927. Vol. 2.",
"Neu-Ref-82","Banks, N.","1930","Some new neotropical neuropteroid insects.","Psyche 37:183-191."
"Neu-Ref-83","Banks, N.","1931","A new species of Chrysopa.","Psyche 38:174."
"Neu-Ref-84","Banks, N.","1931","Some neuropteroid insects from North Borneo, particularly from Mt. Kinabalu, 13,455 ft.","Journal of the Federated Malay States Museums 16:411-429."
"Neu-Ref-85","Banks, N.","1931","Some neuropteroid insects from the Malay Peninsula.","Journal of the Federated Malay States Museums 16:377-409."
"Neu-Ref-86","Banks, N.","1931","Some oriental neuropteroid insects.","Psyche 38:56-70."
"Neu-Ref-87","Banks, N.","1932","Concerning the genus Notiobiella (Neuropt.-Hemerobiidae).","Psyche 39:103-106."
"Neu-Ref-88","Banks, N.","1933","Entomological investigations on the spike disease of sandal (9). Neuroptera.","Indian Forest Records 18(6):1-4."
"Neu-Ref-89","Banks, N.","1934","Supplementary neuropteroid insects from the Malay Peninsula, and from Mt. Kinabalu, Borneo.","Journal of the Federated Malay States Museums 17:567-578."
"Neu-Ref-90","Banks, N.","1935","A few new North American Neuroptera.","Psyche 42:53-57."
"Neu-Ref-91","Banks, N.","1937","Neuropteroid insects from Formosa.","Philippine Journal of Science 62:255-291."
"Neu-Ref-92","Banks, N.","1937","Philippine neuropteroid insects.","Philippine Journal of Science 63:125-174."
"Neu-Ref-93","Banks, N.","1938","A new myrmeleonid from Yucatan. P. 235 in Pearse, A. S. (ed.). Fauna of the caves of Yucatan.","Publications of the Carnegie Institution of Washington 491: iii + 304."
"Neu-Ref-94","Banks, N.","1938","Antillean Ascalaphidae.","Journal of Agriculture of the University of Puerto Rico 22:177-180."
"Neu-Ref-95","Banks, N.","1938","Further neuropteroid insects from Malaya.","Journal of the Federated Malay States Museums 18:220-235."
"Neu-Ref-96","Banks, N.","1938","New Chrysopidae and species new to the United States.","Canadian Entomologist 70:118-122."
"Neu-Ref-98","Banks, N.","1938","New West Indian neuropteroid insects.","Revista de Entomologia, Rio de Janeiro 9:285-304."
"Neu-Ref-99","Banks, N.","1938","Notes on native Myrmeleonidae.","Annals of the Entomological Society of America 31:413-421."
"Neu-Ref-100","Banks, N.","1938","Two new genera of Myrmeleonidae.","Proceedings of the Entomological Society of Washington 40:125-129."
"Neu-Ref-101","Banks, N.","1938","Zoological results of the George Vanderbilt African Expedition, 1934. Part IX. The neuropteroid insects.","Proceedings of the Academy of Natural Sciences of Philadelphia 90:5-9."
"Neu-Ref-102","Banks, N.","1939","Neuropteroid insects from the Philippines.","Philippine Journal of Science 69:133-145."
"Neu-Ref-103","Banks, N.","1939","New genera and species of neuropteroid insects.","Bulletin of the Museum of Comparative Zoology 85:439-504."
"Neu-Ref-104","Banks, N.","1939","On some new and previously-known Neuroptera in the collection of the Academy of Natural Sciences of Philadelphia.","Notulae Naturae 32:1-5."
"Neu-Ref-105","Banks, N.","1940","New Chrysopidae from Australia.","Psyche 47:129-135."
"Neu-Ref-106","Banks, N.","1942","Report on certain groups of neuropteroid insects from Szechwan, China.","Proceedings of the United States National Museum 88:173-220."
"Neu-Ref-107","Banks, N.","1941","A new species of Cymothales (Myrmeleonidae).","Annals of the Carnegie Museum 28:187-188."
"Neu-Ref-108","Banks, N.","1941","New neuropteroid insects from the Antilles.","Memorias de la Sociedad Cubana de Historia Natural 15:385-402."
"Neu-Ref-109","Banks, N.","1941","Results of the Oxford University Cayman Islands Biological Expedition, 1938 (Neuroptera).","Entomologist's Monthly Magazine 77:176-177."
"Neu-Ref-110","Banks, N.","1941","Some new and interesting Neuroptera in the American Museum of Natural History.","American Museum Novitates 1143:1-5."
"Neu-Ref-111","Banks, N.","1941","Three new species of Myrmeleonidae.","Psyche 48:101-104."
"Neu-Ref-112","Banks, N.","1942","Contributions toward a knowledge of the insect fauna of Lower California. No. 4. Neuroptera: Myrmeleonidae.","Proceedings of the California Academy of Sciences (4)24:133-151."
"Neu-Ref-115","Banks, N.","1943","Neuroptera of northern South America. Part II. Myrmeleonidae.","Boletín de Entomología Venezolana 2:161-173."
